Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,,,
Allblk,USA,SVOD subscribers,2022-09-30,108070,,,
Allblk,USA,SVOD subscribers,2022-12-31,119180,,,
Motor Trend On Demand,USA,SVOD subscribers,2021-03-31,95454,,,
Motor Trend On Demand,USA,SVOD subscribers,2021-06-30,97363,,,
Motor Trend On Demand,USA,SVOD subscribers,2021-09-30,99310,,,
Motor Trend On Demand,USA,SVOD subscribers,2021-12-31,101296,,,
Motor Trend On Demand,USA,SVOD subscribers,2022-03-31,103322,,,
Motor Trend On Demand,USA,SVOD subscribers,2022-06-30,105388,,,
Motor Trend On Demand,USA,SVOD subscribers,2022-09-30,107496,,,
Motor Trend On Demand,USA,SVOD subscribers,2022-12-31,109646,,,
Indieflix,USA,SVOD subscribers,2021-03-31,5513,,,
Indieflix,USA,SVOD subscribers,2021-06-30,5623,,,
Indieflix,USA,SVOD subscribers,2021-09-30,5735,,,
Indieflix,USA,SVOD subscribers,2021-12-31,5850,,,
Indieflix,USA,SVOD subscribers,2022-03-31,5967,,,
Indieflix,USA,SVOD subscribers,2022-06-30,6086,,,
Indieflix,USA,SVOD subscribers,2022-09-30,6208,,,
Indieflix,USA,SVOD subscribers,2022-12-31,6332,,,
College Sports Live,USA,SVOD subscribers,2021-03-31,4286,,,
College Sports Live,USA,SVOD subscribers,2021-06-30,3429,,,
College Sports Live,USA,SVOD subscribers,2021-09-30,3772,,,
College Sports Live,USA,SVOD subscribers,2021-12-31,4149,,,
College Sports Live,USA,SVOD subscribers,2022-03-31,4564,,,
College Sports Live,USA,SVOD subscribers,2022-06-30,5020,,,
College Sports Live,USA,SVOD subscribers,2022-09-30,5522,,,
College Sports Live,USA,SVOD subscribers,2022-12-31,6074,,,
FloSports,USA,SVOD subscribers,2021-03-31,435999,,,
FloSports,USA,SVOD subscribers,2021-06-30,479599,,,
FloSports,USA,SVOD subscribers,2021-09-30,527559,,,
FloSports,USA,SVOD subscribers,2021-12-31,580315,,,
FloSports,USA,SVOD subscribers,2022-03-31,609331,,,
FloSports,USA,SVOD subscribers,2022-06-30,639797,,,
FloSports,USA,SVOD subscribers,2022-09-30,671787,,,
FloSports,USA,SVOD subscribers,2022-12-31,705377,,,
TYT Network,USA,SVOD subscribers,2021-03-31,32537,,,
TYT Network,USA,SVOD subscribers,2021-06-30,33513,,,
TYT Network,USA,SVOD subscribers,2021-09-30,34518,,,
TYT Network,USA,SVOD subscribers,2021-12-31,35554,,,
TYT Network,USA,SVOD subscribers,2022-03-31,36620,,,
TYT Network,USA,SVOD subscribers,2022-06-30,37719,,,
TYT Network,USA,SVOD subscribers,2022-09-30,38851,,,
TYT Network,USA,SVOD subscribers,2022-12-31,40016,,,
YouTube TV USA,USA,SVOD subscribers,2021-03-31,3228750,,,
YouTube TV USA,USA,SVOD subscribers,2021-06-30,3341756,,,
YouTube TV USA,USA,SVOD subscribers,2021-09-30,4177195,,,
YouTube TV USA,USA,SVOD subscribers,2021-12-31,4406941,,,
YouTube TV USA,USA,SVOD subscribers,2022-03-31,4693392,,,
YouTube TV USA,USA,SVOD subscribers,2022-06-30,5021930,,,
YouTube TV USA,USA,SVOD subscribers,2022-09-30,5273026,,,
YouTube TV USA,USA,SVOD subscribers,2022-12-31,5536677,,,
Fanatiz,USA,SVOD subscribers,2022-03-31,4673,,,
Fanatiz,USA,SVOD subscribers,2022-06-30,4719,,,
Fanatiz,USA,SVOD subscribers,2022-09-30,4766,,,
Fanatiz,USA,SVOD subscribers,2022-12-31,4814,,,
Fanatiz,USA,SVOD subscribers,2021-03-31,4490,,,
Fanatiz,USA,SVOD subscribers,2021-06-30,4535,,,
Fanatiz,USA,SVOD subscribers,2021-09-30,4580,,,
Fanatiz,USA,SVOD subscribers,2021-12-31,4626,,,
Poker Go,USA,SVOD subscribers,2021-03-31,7728,,,
Poker Go,USA,SVOD subscribers,2021-06-30,7805,,,
Poker Go,USA,SVOD subscribers,2021-09-30,7883,,,
Poker Go,USA,SVOD subscribers,2021-12-31,7962,,,
Poker Go,USA,SVOD subscribers,2022-03-31,8042,,,
Poker Go,USA,SVOD subscribers,2022-06-30,8122,,,
Poker Go,USA,SVOD subscribers,2022-09-30,8203,,,
Poker Go,USA,SVOD subscribers,2022-12-31,8285,,,
Kocowa+,USA,SVOD subscribers,2021-03-31,58842,,,
Kocowa+,USA,SVOD subscribers,2021-06-30,60019,,,
Kocowa+,USA,SVOD subscribers,2021-09-30,61219,,,
Kocowa+,USA,SVOD subscribers,2021-12-31,62444,,,
Kocowa+,USA,SVOD subscribers,2022-03-31,63692,,,
Kocowa+,USA,SVOD subscribers,2022-06-30,64966,,,
Kocowa+,USA,SVOD subscribers,2022-09-30,66266,,,
Kocowa+,USA,SVOD subscribers,2022-12-31,67591,,,
History Vault,USA,SVOD subscribers,2021-03-31,9957,,,
History Vault,USA,SVOD subscribers,2021-06-30,10156,,,
History Vault,USA,SVOD subscribers,2021-09-30,10359,,,
History Vault,USA,SVOD subscribers,2021-12-31,10566,,,
History Vault,USA,SVOD subscribers,2022-03-31,10777,,,
History Vault,USA,SVOD subscribers,2022-06-30,10993,,,
History Vault,USA,SVOD subscribers,2022-09-30,11213,,,
History Vault,USA,SVOD subscribers,2022-12-31,11437,,,
Flixfling,USA,SVOD subscribers,2021-03-31,3675,,,
Flixfling,USA,SVOD subscribers,2021-06-30,3748,,,
Flixfling,USA,SVOD subscribers,2021-09-30,3823,,,
Flixfling,USA,SVOD subscribers,2021-12-31,3900,,,
Flixfling,USA,SVOD subscribers,2022-03-31,3978,,,
Flixfling,USA,SVOD subscribers,2022-06-30,4057,,,
Flixfling,USA,SVOD subscribers,2022-09-30,4138,,,
Flixfling,USA,SVOD subscribers,2022-12-31,4221,,,
Philo TV,USA,SVOD subscribers,2021-03-31,815162,,,
Philo TV,USA,SVOD subscribers,2021-06-30,831465,,,
Philo TV,USA,SVOD subscribers,2021-09-30,848095,,,
Philo TV,USA,SVOD subscribers,2021-12-31,865056,,,
Philo TV,USA,SVOD subscribers,2022-03-31,882358,,,
Philo TV,USA,SVOD subscribers,2022-06-30,900005,,,
Philo TV,USA,SVOD subscribers,2022-09-30,918005,,,
Philo TV,USA,SVOD subscribers,2022-12-31,936365,,,
